stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,transaction_time,contractId
CKHL,58,57,60,697.0,41820.0,2026-04-28 14:53:52.800,2026042805015077
CKHL,58,49,10,697.0,6970.0,2026-04-28 14:52:18.291,2026042805014763
CKHL,58,50,40,697.0,27880.0,2026-04-28 14:48:12.530,2026042805014209
CKHL,58,22,10,697.0,6970.0,2026-04-28 14:47:28.273,2026042805014065
CKHL,58,33,100,697.0,69700.0,2026-04-28 14:43:55.475,2026042805013612
CKHL,58,54,10,697.0,6970.0,2026-04-28 14:38:07.816,2026042805012877
CKHL,58,4,10,697.0,6970.0,2026-04-28 14:36:51.043,2026042805012774
CKHL,58,58,10,697.0,6970.0,2026-04-28 14:27:42.398,2026042805012133
CKHL,6,58,14,699.9,9798.6,2026-04-28 14:26:30.595,2026042805012031
CKHL,58,58,100,697.0,69700.0,2026-04-28 14:23:52.395,2026042805011894
CKHL,84,17,10,690.2,6902.0,2026-04-28 14:20:35.132,2026042805011644
CKHL,84,58,10,690.2,6902.0,2026-04-28 14:19:04.649,2026042805011537
CKHL,58,54,10,695.0,6950.0,2026-04-28 14:10:31.310,2026042805010812
CKHL,84,22,10,696.6,6966.0,2026-04-28 14:06:06.255,2026042805010364
CKHL,84,28,10,696.6,6966.0,2026-04-28 13:56:43.577,2026042805009727
CKHL,6,73,10,697.0,6970.0,2026-04-28 13:51:53.838,2026042805009433
CKHL,84,53,40,696.6,27864.0,2026-04-28 13:11:26.377,2026042805007441
CKHL,45,57,940,697.0,655180.0,2026-04-28 13:01:10.041,2026042805006884
CKHL,45,32,10,697.0,6970.0,2026-04-28 12:53:59.537,2026042805006490
CKHL,45,52,10,697.0,6970.0,2026-04-28 12:52:11.431,2026042805006387
CKHL,45,35,10,697.0,6970.0,2026-04-28 12:46:23.519,2026042805006037
CKHL,45,72,10,697.0,6970.0,2026-04-28 12:45:43.831,2026042805006016
CKHL,45,33,10,697.0,6970.0,2026-04-28 12:45:41.137,2026042805006012
CKHL,45,58,190,697.0,132430.0,2026-04-28 12:40:26.071,2026042805005728
CKHL,84,58,150,697.1,104565.0,2026-04-28 12:40:26.071,2026042805005727
CKHL,84,49,10,697.1,6971.0,2026-04-28 12:36:52.202,2026042805005531
CKHL,84,58,20,697.1,13942.0,2026-04-28 12:35:43.031,2026042805005490
CKHL,84,53,10,697.1,6971.0,2026-04-28 12:16:44.446,2026042805004449
CKHL,45,34,10,697.0,6970.0,2026-04-28 11:57:13.556,2026042805003383
CKHL,84,4,10,696.6,6966.0,2026-04-28 11:51:04.896,2026042805002942
CKHL,39,84,10,696.5,6965.0,2026-04-28 11:40:48.479,2026042805002144
CKHL,39,17,10,696.5,6965.0,2026-04-28 11:40:46.928,2026042805002140
CKHL,84,22,10,714.7,7147.0,2026-04-28 11:40:38.461,2026042805002130
CKHL,84,57,10,705.0,7050.0,2026-04-28 11:40:38.461,2026042805002129
CKHL,84,58,10,704.0,7040.0,2026-04-28 11:40:38.461,2026042805002128
CKHL,84,49,10,704.0,7040.0,2026-04-28 11:40:38.461,2026042805002127
CKHL,84,58,10,696.1,6961.0,2026-04-28 11:39:24.717,2026042805002026
CKHL,45,17,10,696.0,6960.0,2026-04-28 11:30:34.761,2026042805001501
CKHL,34,17,90,700.0,63000.0,2026-04-28 11:30:34.760,2026042805001500
CKHL,34,34,10,700.0,7000.0,2026-04-28 11:27:50.952,2026042805001339
CKHL,58,35,10,702.7,7027.0,2026-04-28 11:24:37.052,2026042805001176
CKHL,58,25,10,702.0,7020.0,2026-04-28 11:24:37.052,2026042805001175
CKHL,58,60,10,702.0,7020.0,2026-04-28 11:24:37.052,2026042805001174
CKHL,84,33,12,682.3,8187.599999999999,2026-04-28 10:46:00.181,2026042805000027
