contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041701001557,PCBL,42,58,10,245.0,2450.0,2026-04-17,186760077,357,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:07:24.372010,Prime Commercial Bank Ltd.
2026041701002610,PCBL,42,17,15,245.0,3675.0,2026-04-17,186763674,357,Sani Securities Company Ltd.,ABC Securities Private Limited,2026-04-17 11:12:06.300602,Prime Commercial Bank Ltd.
2026041701002611,PCBL,53,17,50,245.0,12250.0,2026-04-17,186763676,357,Investment Management Nepal Pvt. Ltd.,ABC Securities Private Limited,2026-04-17 11:12:06.300656,Prime Commercial Bank Ltd.
2026041701002992,PCBL,42,58,15,244.5,3667.5,2026-04-17,186765007,357,Sani Securities Company Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:14:10.101199,Prime Commercial Bank Ltd.
2026041701002993,PCBL,42,17,935,245.0,229075.0,2026-04-17,186765009,357,Sani Securities Company Ltd.,ABC Securities Private Limited,2026-04-17 11:14:10.101256,Prime Commercial Bank Ltd.
2026041701003103,PCBL,41,75,56,246.0,13776.0,2026-04-17,186765401,357,Linch Stock Market Ltd.,N.I.M.B. Stock Markets Limited,2026-04-17 11:14:41.123099,Prime Commercial Bank Ltd.
2026041701003104,PCBL,41,26,32,246.0,7872.0,2026-04-17,186765404,357,Linch Stock Market Ltd.,Asian Securities Private Ltd.,2026-04-17 11:14:41.123233,Prime Commercial Bank Ltd.
2026041701003699,PCBL,42,52,10,245.0,2450.0,2026-04-17,186767993,357,Sani Securities Company Ltd.,Sundhara Securities Limited,2026-04-17 11:17:32.488473,Prime Commercial Bank Ltd.
2026041701004476,PCBL,42,26,240,245.0,58800.0,2026-04-17,186771064,357,Sani Securities Company Ltd.,Asian Securities Private Ltd.,2026-04-17 11:20:13.343389,Prime Commercial Bank Ltd.
2026041701004477,PCBL,8,26,440,245.0,107800.0,2026-04-17,186771065,357,Brilliant Securities Pvt. Ltd.,Asian Securities Private Ltd.,2026-04-17 11:20:13.343456,Prime Commercial Bank Ltd.
2026041701004478,PCBL,58,26,25,246.0,6150.0,2026-04-17,186771068,357,Naasa Securities Co. Ltd.,Asian Securities Private Ltd.,2026-04-17 11:20:13.368870,Prime Commercial Bank Ltd.
2026041701004587,PCBL,58,45,25,245.9,6147.5,2026-04-17,186771528,357,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:20:39.719351,Prime Commercial Bank Ltd.
2026041701006652,PCBL,44,58,10,245.0,2450.0,2026-04-17,186779337,357,Dynamic Money Managers Securities Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:29:08.531063,Prime Commercial Bank Ltd.
2026041701006779,PCBL,44,41,40,245.0,9800.0,2026-04-17,186779834,357,Dynamic Money Managers Securities Pvt. Ltd.,Linch Stock Market Ltd.,2026-04-17 11:29:38.962265,Prime Commercial Bank Ltd.
2026041701006780,PCBL,25,41,320,244.0,78080.0,2026-04-17,186779835,357,Sweta Securities Private Limited,Linch Stock Market Ltd.,2026-04-17 11:29:38.962372,Prime Commercial Bank Ltd.
2026041701007298,PCBL,25,40,180,244.0,43920.0,2026-04-17,186781568,357,Sweta Securities Private Limited,Creative Securities Pvt Ltd,2026-04-17 11:31:26.378345,Prime Commercial Bank Ltd.
2026041701007299,PCBL,25,40,550,244.0,134200.0,2026-04-17,186781570,357,Sweta Securities Private Limited,Creative Securities Pvt Ltd,2026-04-17 11:31:26.378521,Prime Commercial Bank Ltd.
2026041701007300,PCBL,53,40,50,244.0,12200.0,2026-04-17,186781572,357,Investment Management Nepal Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-17 11:31:26.378635,Prime Commercial Bank Ltd.
2026041701007301,PCBL,48,40,20,244.0,4880.0,2026-04-17,186781573,357,Trishakti Securities Public Limited,Creative Securities Pvt Ltd,2026-04-17 11:31:26.378745,Prime Commercial Bank Ltd.
2026041701008777,PCBL,48,58,1000,245.0,245000.0,2026-04-17,186786862,357,Trishakti Securities Public Limited,Naasa Securities Co. Ltd.,2026-04-17 11:37:25.005006,Prime Commercial Bank Ltd.
2026041701009844,PCBL,13,45,10,244.0,2440.0,2026-04-17,186790422,357,Thrive Brokerage House Pvt. Ltd,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:41:46.539475,Prime Commercial Bank Ltd.
2026041701009845,PCBL,58,45,10,244.0,2440.0,2026-04-17,186790424,357,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:41:46.539666,Prime Commercial Bank Ltd.
2026041701009888,PCBL,26,58,17,242.7,4125.9,2026-04-17,186790585,357,Asian Securities Private Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:42:01.212304,Prime Commercial Bank Ltd.
2026041701010982,PCBL,6,45,92,244.0,22448.0,2026-04-17,186794459,357,Agrawal Securities (PVT) Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-17 11:47:25.310708,Prime Commercial Bank Ltd.
2026041701010983,PCBL,6,58,908,245.0,222460.0,2026-04-17,186794462,357,Agrawal Securities (PVT) Ltd.,Naasa Securities Co. Ltd.,2026-04-17 11:47:25.310914,Prime Commercial Bank Ltd.
2026041701011053,PCBL,6,50,500,242.9,121450.0,2026-04-17,186794752,357,Agrawal Securities (PVT) Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-17 11:47:46.006389,Prime Commercial Bank Ltd.
2026041701011054,PCBL,49,50,80,242.8,19424.0,2026-04-17,186794753,357,Online Securities Pvt. Ltd.,Cristal Kanchanjanga Securites Pvt. Ltd.,2026-04-17 11:47:46.006593,Prime Commercial Bank Ltd.
2026041701011995,PCBL,41,42,30,243.0,7290.0,2026-04-17,186798806,357,Linch Stock Market Ltd.,Sani Securities Company Ltd.,2026-04-17 11:53:05.735271,Prime Commercial Bank Ltd.
2026041701011996,PCBL,49,42,23,242.8,5584.4,2026-04-17,186798808,357,Online Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-17 11:53:05.735508,Prime Commercial Bank Ltd.
2026041701011997,PCBL,44,42,100,242.8,24280.0,2026-04-17,186798810,357,Dynamic Money Managers Securities Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-17 11:53:05.735651,Prime Commercial Bank Ltd.
2026041701011998,PCBL,26,42,33,242.7,8009.1,2026-04-17,186798812,357,Asian Securities Private Ltd.,Sani Securities Company Ltd.,2026-04-17 11:53:05.735818,Prime Commercial Bank Ltd.
2026041701011999,PCBL,50,42,434,242.7,105331.8,2026-04-17,186798813,357,Cristal Kanchanjanga Securites Pvt. Ltd.,Sani Securities Company Ltd.,2026-04-17 11:53:05.735952,Prime Commercial Bank Ltd.
2026041701012033,PCBL,50,21,566,242.7,137368.2,2026-04-17,186798920,357,Cristal Kanchanjanga Securites Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-17 11:53:14.664570,Prime Commercial Bank Ltd.
2026041701012034,PCBL,57,21,434,242.7,105331.8,2026-04-17,186798921,357,Aryatara Investment & Securities,Midas Stock Broking Company Private Limited,2026-04-17 11:53:14.664679,Prime Commercial Bank Ltd.
2026041701012118,PCBL,57,21,566,242.7,137368.2,2026-04-17,186799312,357,Aryatara Investment & Securities,Midas Stock Broking Company Private Limited,2026-04-17 11:53:53.520640,Prime Commercial Bank Ltd.
2026041701012119,PCBL,6,21,434,242.6,105288.4,2026-04-17,186799313,357,Agrawal Securities (PVT) Ltd.,Midas Stock Broking Company Private Limited,2026-04-17 11:53:53.520788,Prime Commercial Bank Ltd.
2026041701013223,PCBL,6,34,66,242.6,16011.6,2026-04-17,186804670,357,Agrawal Securities (PVT) Ltd.,Vision Securities Pvt. Ltd,2026-04-17 12:00:31.201336,Prime Commercial Bank Ltd.
2026041701013224,PCBL,57,34,49,242.6,11887.4,2026-04-17,186804671,357,Aryatara Investment & Securities,Vision Securities Pvt. Ltd,2026-04-17 12:00:31.201460,Prime Commercial Bank Ltd.
2026041701013893,PCBL,6,52,160,242.7,38832.0,2026-04-17,186808077,357,Agrawal Securities (PVT) Ltd.,Sundhara Securities Limited,2026-04-17 12:04:18.374320,Prime Commercial Bank Ltd.
2026041701015169,PCBL,29,26,50,242.8,12140.0,2026-04-17,186814710,357,Trisul Securities & Invt. Ltd.,Asian Securities Private Ltd.,2026-04-17 12:11:55.715932,Prime Commercial Bank Ltd.
2026041701015170,PCBL,6,26,340,242.7,82518.0,2026-04-17,186814712,357,Agrawal Securities (PVT) Ltd.,Asian Securities Private Ltd.,2026-04-17 12:11:55.716210,Prime Commercial Bank Ltd.
2026041701015171,PCBL,57,26,110,242.6,26686.0,2026-04-17,186814713,357,Aryatara Investment & Securities,Asian Securities Private Ltd.,2026-04-17 12:11:55.716431,Prime Commercial Bank Ltd.
2026041701015264,PCBL,57,58,294,242.6,71324.4,2026-04-17,186815171,357,Aryatara Investment & Securities,Naasa Securities Co. Ltd.,2026-04-17 12:12:19.442362,Prime Commercial Bank Ltd.
2026041701015832,PCBL,57,26,63,242.6,15283.8,2026-04-17,186817837,357,Aryatara Investment & Securities,Asian Securities Private Ltd.,2026-04-17 12:15:31.502623,Prime Commercial Bank Ltd.
