contractId,stockSymbol,buyerMemberId,sellerMemberId,quantity,rate,amount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,transaction_time,securityName
2026041303000025,GBBL,58,14,40,410.0,16400.0,2026-04-13,186085739,417,Naasa Securities Co. Ltd.,Nepal Stock House (PVT) Ltd.,2026-04-13 11:03:01.320478,Garima Bikas Bank Limited
2026041303000128,GBBL,58,16,108,411.9,44485.2,2026-04-13,186095578,417,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:10:30.631306,Garima Bikas Bank Limited
2026041303000181,GBBL,47,16,1164,411.9,479451.6,2026-04-13,186099329,417,Neev Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2026-04-13 11:13:38.721401,Garima Bikas Bank Limited
2026041303000182,GBBL,47,22,500,412.0,206000.0,2026-04-13,186099331,417,Neev Securities Pvt. Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:13:38.721552,Garima Bikas Bank Limited
2026041303000545,GBBL,58,57,40,412.2,16488.0,2026-04-13,186114199,417,Naasa Securities Co. Ltd.,Aryatara Investment & Securities,2026-04-13 11:28:48.438745,Garima Bikas Bank Limited
2026041303000605,GBBL,58,47,245,414.0,101430.0,2026-04-13,186116802,417,Naasa Securities Co. Ltd.,Neev Securities Pvt. Ltd.,2026-04-13 11:31:52.119440,Garima Bikas Bank Limited
2026041303000642,GBBL,57,47,10,414.0,4140.0,2026-04-13,186118266,417,Aryatara Investment & Securities,Neev Securities Pvt. Ltd.,2026-04-13 11:33:37.225176,Garima Bikas Bank Limited
2026041303000687,GBBL,25,47,10,414.0,4140.0,2026-04-13,186120270,417,Sweta Securities Private Limited,Neev Securities Pvt. Ltd.,2026-04-13 11:35:53.496782,Garima Bikas Bank Limited
2026041303000712,GBBL,6,22,87,413.5,35974.5,2026-04-13,186121035,417,Agrawal Securities (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,2026-04-13 11:36:59.728060,Garima Bikas Bank Limited
2026041303000861,GBBL,45,47,25,414.0,10350.0,2026-04-13,186127888,417,Imperial Securities Company Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-13 11:45:37.739676,Garima Bikas Bank Limited
2026041303000887,GBBL,19,6,50,415.0,20750.0,2026-04-13,186128475,417,Nepal Investment And Securities Trading Private Limited,Agrawal Securities (PVT) Ltd.,2026-04-13 11:46:22.486056,Garima Bikas Bank Limited
2026041303000888,GBBL,19,40,150,415.0,62250.0,2026-04-13,186128478,417,Nepal Investment And Securities Trading Private Limited,Creative Securities Pvt Ltd,2026-04-13 11:46:22.486240,Garima Bikas Bank Limited
2026041303000891,GBBL,45,40,15,415.0,6225.0,2026-04-13,186128488,417,Imperial Securities Company Pvt. Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:46:22.846692,Garima Bikas Bank Limited
2026041303000989,GBBL,58,40,50,415.0,20750.0,2026-04-13,186131366,417,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:49:14.423380,Garima Bikas Bank Limited
2026041303001012,GBBL,58,40,21,415.0,8715.0,2026-04-13,186131814,417,Naasa Securities Co. Ltd.,Creative Securities Pvt Ltd,2026-04-13 11:49:44.859921,Garima Bikas Bank Limited
2026041303001033,GBBL,74,40,44,415.0,18260.0,2026-04-13,186132285,417,KALASH STOCK MARKET PVT. LTD.,Creative Securities Pvt Ltd,2026-04-13 11:50:10.567695,Garima Bikas Bank Limited
2026041303001034,GBBL,74,7,10,415.0,4150.0,2026-04-13,186132287,417,KALASH STOCK MARKET PVT. LTD.,J.F. Securites (PVT) Ltd.,2026-04-13 11:50:10.567883,Garima Bikas Bank Limited
2026041303001035,GBBL,74,13,50,415.0,20750.0,2026-04-13,186132289,417,KALASH STOCK MARKET PVT. LTD.,Thrive Brokerage House Pvt. Ltd,2026-04-13 11:50:10.567998,Garima Bikas Bank Limited
2026041303001134,GBBL,7,39,20,416.0,8320.0,2026-04-13,186136008,417,J.F. Securites (PVT) Ltd.,Sumeru Securities Pvt. Ltd.,2026-04-13 11:54:43.668605,Garima Bikas Bank Limited
2026041303001231,GBBL,19,67,150,417.0,62550.0,2026-04-13,186138884,417,Nepal Investment And Securities Trading Private Limited,Property Wiard Limited,2026-04-13 11:58:07.379749,Garima Bikas Bank Limited
2026041303001232,GBBL,48,67,20,416.0,8320.0,2026-04-13,186138886,417,Trishakti Securities Public Limited,Property Wiard Limited,2026-04-13 11:58:07.379850,Garima Bikas Bank Limited
2026041303001233,GBBL,26,67,328,416.0,136448.0,2026-04-13,186138887,417,Asian Securities Private Ltd.,Property Wiard Limited,2026-04-13 11:58:07.379894,Garima Bikas Bank Limited
2026041303001308,GBBL,58,45,1,415.0,415.0,2026-04-13,186141461,417,Naasa Securities Co. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-13 12:01:15.421815,Garima Bikas Bank Limited
2026041303001341,GBBL,29,25,100,416.1,41610.0,2026-04-13,186142389,417,Trisul Securities & Invt. Ltd.,Sweta Securities Private Limited,2026-04-13 12:02:18.928570,Garima Bikas Bank Limited
2026041303001408,GBBL,58,48,100,417.9,41790.0,2026-04-13,186145294,417,Naasa Securities Co. Ltd.,Trishakti Securities Public Limited,2026-04-13 12:06:33.545836,Garima Bikas Bank Limited
