contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026043005000001,CIT,42,6,50,1780.0,89000.0,Sani Securities Company Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 10:46:00.013085
2026043005000002,CIT,26,6,20,1780.0,35600.0,Asian Securities Private Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 10:46:00.013168
2026043005000446,CIT,48,19,10,1774.0,17740.0,Trishakti Securities Public Limited,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:08:05.358447
2026043005000560,CIT,35,6,30,1770.0,53100.0,Kohinoor Investment & Securities Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 11:10:23.680404
2026043005000561,CIT,58,6,10,1765.0,17650.0,Naasa Securities Co. Ltd.,Agrawal Securities (PVT) Ltd.,2026-04-30 11:10:23.680503
2026043005000562,CIT,1,6,10,1765.0,17650.0,Kumari Securities Private Limited,Agrawal Securities (PVT) Ltd.,2026-04-30 11:10:23.680542
2026043005000606,CIT,1,45,11,1765.0,19415.0,Kumari Securities Private Limited,Imperial Securities Company Pvt. Ltd.,2026-04-30 11:11:05.032589
2026043005000730,CIT,82,19,10,1764.1,17641.0,N.M.B. SECURITIES LIMITED,Nepal Investment And Securities Trading Private Limited,2026-04-30 11:13:31.445718
2026043005000873,CIT,82,35,156,1764.1,275199.6,N.M.B. SECURITIES LIMITED,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206360
2026043005000874,CIT,58,35,10,1763.0,17630.0,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206464
2026043005000875,CIT,74,35,128,1760.0,225280.0,KALASH STOCK MARKET PVT. LTD.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206522
2026043005000876,CIT,5,35,20,1760.0,35200.0,Market Securities & Exchange (PVT) Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206575
2026043005000877,CIT,42,35,50,1760.0,88000.0,Sani Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206614
2026043005000878,CIT,58,35,10,1760.0,17600.0,Naasa Securities Co. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206651
2026043005000879,CIT,42,35,10,1751.0,17510.0,Sani Securities Company Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206688
2026043005000880,CIT,38,35,250,1750.0,437500.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206725
2026043005000881,CIT,45,35,100,1750.0,175000.0,Imperial Securities Company Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-30 11:14:34.206761
