contract_id,symbol,buyer_member_id,seller_member_id,volume,price,amount,buyer_broker,seller_broker,transaction_time
2026040904000253,HURJA,48,45,10,282.8,2828.0,Trishakti Securities Public Limited,Imperial Securities Company Pvt. Ltd.,2026-04-09 11:05:11.779506
2026040904000482,HURJA,39,35,500,278.0,139000.0,Sumeru Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-09 11:08:05.712724
2026040904000511,HURJA,34,57,200,277.3,55460.0,Vision Securities Pvt. Ltd,Aryatara Investment & Securities,2026-04-09 11:08:15.645296
2026040904000512,HURJA,48,57,300,277.2,83160.0,Trishakti Securities Public Limited,Aryatara Investment & Securities,2026-04-09 11:08:15.645407
2026040904000626,HURJA,43,57,50,277.0,13850.0,South Asian Bulls Pvt. Ltd.,Aryatara Investment & Securities,2026-04-09 11:09:13.191427
2026040904000627,HURJA,51,57,300,276.9,83070.0,Oxford Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-09 11:09:13.191516
2026040904000628,HURJA,22,57,200,276.1,55220.0,Siprabi Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-09 11:09:13.191604
2026040904000629,HURJA,8,57,200,276.0,55200.0,Brilliant Securities Pvt. Ltd.,Aryatara Investment & Securities,2026-04-09 11:09:13.191662
2026040904000660,HURJA,38,57,100,275.0,27500.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Aryatara Investment & Securities,2026-04-09 11:09:29.498589
2026040904000661,HURJA,67,57,150,275.0,41250.0,Property Wiard Limited,Aryatara Investment & Securities,2026-04-09 11:09:29.498690
2026040904000679,HURJA,67,57,490,275.0,134750.0,Property Wiard Limited,Aryatara Investment & Securities,2026-04-09 11:09:39.164165
2026040904000689,HURJA,67,18,40,275.0,11000.0,Property Wiard Limited,Sagarmatha Securities Private Limited,2026-04-09 11:09:45.724297
2026040904000929,HURJA,67,35,320,275.0,88000.0,Property Wiard Limited,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-09 11:11:50.926079
2026040904000930,HURJA,51,35,680,275.0,187000.0,Oxford Securities Pvt. Ltd.,Kohinoor Investment & Securities Pvt. Ltd.,2026-04-09 11:11:50.926267
2026040904001033,HURJA,51,21,10,275.0,2750.0,Oxford Securities Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-09 11:13:27.305683
2026040904001292,HURJA,6,91,200,278.9,55780.0,Agrawal Securities (PVT) Ltd.,Citizens Share Broker Limited,2026-04-09 11:16:48.332914
2026040904001293,HURJA,6,5,25,279.0,6975.0,Agrawal Securities (PVT) Ltd.,Market Securities & Exchange (PVT) Ltd.,2026-04-09 11:16:48.333025
2026040904001432,HURJA,38,34,300,279.9,83970.0,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Vision Securities Pvt. Ltd,2026-04-09 11:17:57.675997
2026040904001487,HURJA,53,38,200,280.0,56000.0,Investment Management Nepal Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2026-04-09 11:18:27.849565
2026040904001488,HURJA,53,45,50,280.0,14000.0,Investment Management Nepal Pvt. Ltd.,Imperial Securities Company Pvt. Ltd.,2026-04-09 11:18:27.849677
2026040904001489,HURJA,53,43,50,280.0,14000.0,Investment Management Nepal Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,2026-04-09 11:18:27.849728
2026040904001490,HURJA,53,58,500,280.0,140000.0,Investment Management Nepal Pvt. Ltd.,Naasa Securities Co. Ltd.,2026-04-09 11:18:27.849780
2026040904001491,HURJA,53,49,153,280.5,42916.5,Investment Management Nepal Pvt. Ltd.,Online Securities Pvt. Ltd.,2026-04-09 11:18:27.849835
2026040904001492,HURJA,53,48,180,280.5,50490.0,Investment Management Nepal Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-09 11:18:27.849884
2026040904001493,HURJA,53,74,1000,282.0,282000.0,Investment Management Nepal Pvt. Ltd.,KALASH STOCK MARKET PVT. LTD.,2026-04-09 11:18:27.849932
2026040904001494,HURJA,53,21,500,282.0,141000.0,Investment Management Nepal Pvt. Ltd.,Midas Stock Broking Company Private Limited,2026-04-09 11:18:27.849976
2026040904001495,HURJA,53,48,367,282.0,103494.0,Investment Management Nepal Pvt. Ltd.,Trishakti Securities Public Limited,2026-04-09 11:18:27.850023
2026040904001684,HURJA,51,47,800,280.0,224000.0,Oxford Securities Pvt. Ltd.,Neev Securities Pvt. Ltd.,2026-04-09 11:20:59.671534
2026040904002580,HURJA,1,19,30,277.0,8310.0,Kumari Securities Private Limited,Nepal Investment And Securities Trading Private Limited,2026-04-09 11:31:10.448368
2026040904002581,HURJA,80,19,10,277.0,2770.0,Indira securities pvt. ltd,Nepal Investment And Securities Trading Private Limited,2026-04-09 11:31:10.448673
